Speed_20,Dir_20,Hum,SR,Press,TempK,PTheo
2.9114,295.24,47.167,782.67,781.02,307.565,706.3541633333333
2.9193,305.58,48.696,765.53,781.5,307.489,710.1927074999999
3.8115,302.54,47.967,768.73,780.23,307.218,1210.6276874999999
3.5927,298.67,48.751,773.46,780.74,307.566,1075.6244408333332
3.4182,295.61,49.638,767.92,780.59,307.552,973.6742700000001
2.9092,320.86,49.577,745.06,781.0,307.361,705.2870533333333
2.1969,289.99,49.12,743.38,780.6,307.525,402.19746749999996
2.3471,288.56,49.457,745.23,779.96,307.545,459.0732008333334
2.5414,290.21,49.367,743.26,780.31,307.338,538.2261633333333
1.9666,321.12,50.306,740.5,780.85,307.478,322.2929633333333
1.5694,326.2,50.398,750.06,780.24,306.823,205.25136333333333
1.7042,328.55,49.425,752.38,780.75,307.072,242.02480333333335
2.6626,333.82,50.121,660.62,780.7,307.307,590.7865633333332
2.1238,333.35,49.122,658.3,780.7,307.558,375.87720333333334
2.377,337.99,49.097,631.6,780.76,307.763,470.8440833333333
1.9824,338.0,49.079,653.28,780.65,307.758,327.49248000000006
2.0115,329.44,49.058,640.19,781.0,308.036,337.17768749999993
2.2599,314.77,49.133,642.43,780.2,308.077,425.59566749999993
2.9533,315.23,49.25,644.89,780.14,307.925,726.8317408333334
2.4417,327.36,49.029,617.13,780.11,307.139,496.8249075
2.6981,319.85,49.455,595.45,780.02,307.001,606.6453008333333
2.0466,325.34,49.725,582.54,780.66,307.018,349.0476300000001
2.4595,317.0,49.498,638.03,781.02,307.181,504.09502083333325
1.6671,317.7,48.781,644.35,781.03,307.215,231.6018675
2.2335,326.71,51.662,472.75,781.54,307.086,415.7101875
2.9805,301.22,51.278,447.71,781.47,307.017,740.2816875000001
3.3206,294.96,50.523,470.79,781.67,306.951,918.8653633333333
3.3209,313.21,51.254,478.67,781.49,306.95,919.0314008333332
3.6405,326.72,51.915,514.07,781.61,307.07,1104.4366874999998
3.1384,325.14,51.821,535.26,781.13,307.066,820.7962133333333
3.0144,340.47,52.908,513.34,781.12,306.785,757.2172800000001
3.1798,339.79,53.885,499.82,781.2,307.009,842.5940033333335
2.9401,330.66,52.003,521.16,781.21,306.995,720.3490008333334
3.0468,337.31,52.845,519.67,780.88,307.042,773.5825200000002
3.1372,327.71,51.38,493.64,781.11,307.158,820.1686533333334
2.7073,316.32,51.115,483.14,781.2,307.115,610.7894408333333
2.8025,317.94,56.366,315.76,781.65,306.576,654.5005208333334
3.1203,322.0,56.458,364.09,782.68,306.444,811.3560075
2.8199,325.06,55.722,383.02,782.66,305.979,662.6530008333333
3.3881,321.08,56.667,318.74,782.86,305.872,956.6018008333333
3.3848,338.0,56.753,330.06,782.61,305.603,954.7392533333333
3.6321,340.39,56.51,306.92,782.93,305.742,1099.3458675
3.0255,335.22,56.865,274.85,782.55,306.804,762.8041874999999
2.3409,321.55,56.613,263.99,783.13,306.806,456.65106750000007
2.665,321.5,56.655,249.17,782.93,305.756,591.8520833333334
2.8083,319.57,56.917,234.85,783.15,305.538,657.2124074999999
1.7337,320.92,56.951,222.12,783.03,305.532,250.4763075
2.7913,321.99,55.823,255.05,781.87,305.518,649.2796408333335
1.8283,337.99,63.276,63.94,783.41,304.115,278.5567408333334
1.5044,337.0,63.982,49.05,783.1,304.592,188.60161333333332
1.2628,338.12,64.212,48.04,783.09,305.194,132.8886533333333
1.4244,338.04,65.701,15.63,783.07,305.065,169.07628000000005
1.1303,337.6,65.743,16.52,781.85,304.459,106.46484083333334
1.2405,334.31,65.06,15.08,782.51,304.501,128.2366875
1.2399,334.18,64.839,155.32,781.97,304.296,128.1126675
1.4561,333.75,63.023,155.18,783.52,304.101,176.68560083333332
1.9306,324.91,63.272,146.07,782.67,303.782,310.6013633333333
2.2581,332.43,64.718,166.58,782.47,303.813,424.91796750000003
2.6564,323.88,64.908,134.93,781.76,303.572,588.0384133333334
2.0338,319.79,65.389,149.9,782.54,303.213,344.69520333333327
1.1921,323.08,68.675,10.44,784.07,302.426,118.42520083333332
1.8685,324.08,68.649,10.26,784.13,302.471,290.94102083333337
1.7779,323.89,68.462,17.05,783.81,302.316,263.41070083333335
1.5673,319.19,69.675,56.19,783.8,302.287,204.70244083333333
1.5753,324.4,67.887,69.21,783.63,302.318,206.79750749999997
1.5914,333.6,67.877,9.31,784.13,302.51,211.04616333333328
2.008,323.68,68.065,9.43,784.13,303.087,336.00533333333334
2.2855,312.34,68.279,9.89,784.17,303.256,435.29252083333324
2.4166,314.92,68.299,9.66,783.93,303.575,486.66296333333327
2.5654,316.12,68.059,10.12,783.82,303.355,548.4397633333333
2.6517,332.99,68.551,12.96,783.91,303.127,585.9594075
2.9209,326.01,67.703,10.1,783.92,302.699,710.9714008333334
2.7226,334.34,71.146,0.56,784.29,301.942,617.7125633333333
2.5156,318.29,71.495,0.58,784.29,301.913,527.3536133333333
2.2976,319.19,72.416,0.57,784.22,302.096,439.91381333333334
2.5369,320.34,72.161,0.58,784.5,302.084,536.3218008333333
2.3146,334.34,72.452,0.49,784.56,302.14,446.4477633333332
2.2746,318.1,73.115,0.51,784.57,302.153,431.15043000000003
2.1214,302.65,73.042,0.54,784.34,302.04,375.0281633333333
1.6833,302.39,73.844,0.55,784.67,301.961,236.1249075
1.6987,300.93,72.93,0.57,784.66,301.878,240.46514083333335
2.1539,312.96,73.126,0.54,784.1,301.869,386.6071008333334
3.4329,312.44,72.261,0.57,784.03,301.921,982.0668675000001
3.951,318.23,73.804,0.65,784.09,301.917,1300.86675
3.4595,322.65,75.617,0.0,784.2,301.176,997.3450208333333
3.4297,334.71,75.886,0.0,784.07,301.342,980.2368408333334
3.4695,335.22,76.012,0.0,784.22,300.668,1003.1191875000001
3.4591,335.2,76.114,0.0,784.06,300.788,997.1144008333331
4.2133,335.23,76.375,0.0,784.04,300.598,1479.3247408333334
4.3205,331.21,75.938,0.0,784.08,300.356,1555.5600208333333
3.4805,319.83,75.069,0.0,784.25,300.091,1009.4900208333332
3.331,330.2,75.039,0.0,784.18,300.671,924.6300833333333
2.8174,330.63,75.285,0.0,784.18,300.656,661.4785633333335
2.0266,324.91,75.307,0.0,784.67,300.742,342.2589633333333
1.9402,339.39,75.595,0.0,784.54,300.76,313.6980033333333
1.7595,330.43,75.939,0.0,784.51,300.864,257.9866875
1.4573,312.43,76.235,0.0,784.23,300.738,176.97694083333337
1.9583,305.57,78.455,0.0,784.23,300.789,319.5782408333333
1.662,312.66,79.354,0.0,784.16,300.79,230.187
2.2832,305.08,79.989,0.0,784.49,300.712,434.4168533333332
1.9919,312.33,79.219,0.0,784.5,300.808,330.6388008333333
1.5675,315.47,80.77,0.0,784.31,301.485,204.75468749999996
